age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
56;housemaid;married;basic.4y;no;no;no;telephone;may;mon;261;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;services;married;high.school;unknown;no;no;telephone;may;mon;149;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;services;married;high.school;no;yes;no;telephone;may;mon;226;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;admin.;married;basic.6y;no;no;no;telephone;may;mon;151;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;services;married;high.school;no;no;yes;telephone;may;mon;307;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;services;married;basic.9y;unknown;no;no;telephone;may;mon;198;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
59;admin.;married;professional.course;no;no;no;telephone;may;mon;139;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;217;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
24;technician;single;professional.course;no;yes;no;telephone;may;mon;380;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
25;services;single;high.school;no;yes;no;telephone;may;mon;50;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;55;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
25;services;single;high.school;no;yes;no;telephone;may;mon;222;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
29;blue-collar;single;high.school;no;no;yes;telephone;may;mon;137;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;housemaid;divorced;basic.4y;no;yes;no;telephone;may;mon;293;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;146;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;retired;married;basic.9y;unknown;yes;yes;telephone;may;mon;174;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;312;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
46;blue-collar;married;basic.6y;unknown;yes;yes;telephone;may;mon;440;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
50;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;353;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;management;single;basic.9y;unknown;no;no;telephone;may;mon;195;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
30;unemployed;married;high.school;no;no;no;telephone;may;mon;38;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;262;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;retired;single;high.school;no;yes;no;telephone;may;mon;342;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
